2026-03-17 11:51:01,314 | INFO | agents.dqn_agent | DQNAgent starting: game=ls20 device=cpu episodes=5000
2026-03-17 11:51:09,219 | INFO | env_wrapper | ARCEnvWrapper: game=ls20 scorecard=None
2026-03-17 11:51:09,219 | INFO | agents.dqn_agent | Phase 1: Random data collection (10 episodes)
2026-03-17 11:51:09,223 | INFO | env_wrapper | Discovered valid action indices: [0, 1, 2, 3, 4] (from env available_actions=[1, 2, 3, 4])
2026-03-17 11:51:31,366 | INFO | agents.dqn_agent | Phase 2: Pretrain action-effect predictor (5000 samples)
2026-03-17 11:51:43,649 | DEBUG | agents.dqn_agent | Effect predictor: epoch 20, loss=0.0172
2026-03-17 11:51:43,650 | INFO | agents.dqn_agent | Phase 3: DQN training (5000 episodes)
2026-03-17 11:51:49,715 | DEBUG | agents.dqn_agent | Effect predictor: epoch 5, loss=0.0184
2026-03-17 11:51:49,754 | INFO | agents.dqn_agent | Ep 0/5000: return=90.73 steps=500 levels=0 eps=1.000 replay=5500 effect_acc=100.00% unique_states=2
2026-03-17 11:52:18,829 | INFO | agents.dqn_agent | Ep 10/5000: return=107.89 steps=500 levels=0 eps=0.980 replay=10500 effect_acc=100.00% unique_states=2
2026-03-17 11:52:48,606 | INFO | agents.dqn_agent | Ep 20/5000: return=80.74 steps=500 levels=0 eps=0.961 replay=15500 effect_acc=100.00% unique_states=1
2026-03-17 11:53:22,509 | INFO | agents.dqn_agent | Ep 30/5000: return=101.32 steps=500 levels=0 eps=0.942 replay=20500 effect_acc=100.00% unique_states=2
2026-03-17 11:53:53,962 | INFO | agents.dqn_agent | Ep 40/5000: return=79.54 steps=500 levels=0 eps=0.923 replay=25500 effect_acc=97.00% unique_states=1
2026-03-17 11:54:30,151 | DEBUG | agents.dqn_agent | Effect predictor: epoch 5, loss=0.0126
2026-03-17 11:54:30,193 | INFO | agents.dqn_agent | Ep 50/5000: return=68.84 steps=500 levels=0 eps=0.905 replay=30500 effect_acc=100.00% unique_states=1
2026-03-17 11:54:59,082 | INFO | agents.dqn_agent | Ep 60/5000: return=68.70 steps=500 levels=0 eps=0.887 replay=35500 effect_acc=97.50% unique_states=1
2026-03-17 11:55:33,002 | INFO | agents.dqn_agent | Ep 70/5000: return=70.20 steps=500 levels=0 eps=0.869 replay=40500 effect_acc=100.00% unique_states=1
2026-03-17 11:56:03,780 | INFO | agents.dqn_agent | Ep 80/5000: return=70.85 steps=500 levels=0 eps=0.852 replay=45500 effect_acc=100.00% unique_states=1
2026-03-17 11:56:33,135 | INFO | agents.dqn_agent | Ep 90/5000: return=80.22 steps=500 levels=0 eps=0.835 replay=50000 effect_acc=99.00% unique_states=1
2026-03-17 11:57:20,925 | DEBUG | agents.dqn_agent | Effect predictor: epoch 5, loss=0.0420
