2026-03-17 11:52:55,205 | INFO | env_wrapper | ARCEnvWrapper: game=ls20 scorecard=None
2026-03-17 11:52:55,206 | INFO | agents.adaptive_agent | === AdaptiveExplorer starting on game=ls20 ===
2026-03-17 11:52:55,206 | INFO | agents.adaptive_agent | Budget: 500 actions
2026-03-17 11:52:55,373 | INFO | env_wrapper | Discovered valid action indices: [0, 1, 2, 3, 4] (from env available_actions=[1, 2, 3, 4])
2026-03-17 11:52:55,373 | INFO | agents.adaptive_agent | Grid: (64, 64), valid_actions: [0, 1, 2, 3, 4]
2026-03-17 11:52:55,374 | INFO | agents.adaptive_agent | --- Phase 1: Calibration ---
2026-03-17 11:52:55,377 | INFO | agents.adaptive_agent | Floor=4, bg_colors={3, 4}
2026-03-17 11:52:57,678 | INFO | agents.adaptive_agent | Action 1 -> (dy=-5, dx=0)
2026-03-17 11:52:58,363 | INFO | agents.adaptive_agent | Action 2 -> (dy=5, dx=0)
2026-03-17 11:52:59,165 | INFO | agents.adaptive_agent | Action 3 -> (dy=0, dx=-5)
2026-03-17 11:52:59,840 | INFO | agents.adaptive_agent | Action 4 -> (dy=0, dx=5)
2026-03-17 11:53:00,261 | INFO | agents.adaptive_agent | Player detected at (42, 41)
2026-03-17 11:53:00,261 | INFO | agents.adaptive_agent | Calibrated: 4 directions, cell_size=5, player=(42, 41)
2026-03-17 11:53:00,262 | INFO | agents.adaptive_agent | --- Life 1 (action 23/500, 0 levels done) ---
2026-03-17 11:53:00,264 | INFO | agents.adaptive_agent | Grid scan: 9 objects found (5 unique colors)
2026-03-17 11:53:00,265 | DEBUG | agents.adaptive_agent | No interaction at (45, 41) (color 12)
2026-03-17 11:53:01,120 | INFO | agents.adaptive_agent | INTERACTION at (61, 38) (color 5): changed 10 cells, colors: {(11, 3): 10}
2026-03-17 11:53:02,051 | INFO | agents.adaptive_agent | INTERACTION at (61, 33) (color 11): changed 58 cells, colors: {(3, 12): 10, (12, 3): 10, (3, 9): 15, (9, 3): 15, (11, 3): 8}
2026-03-17 11:53:04,063 | INFO | agents.adaptive_agent | INTERACTION at (31, 21) (color 0): changed 68 cells, colors: {(3, 12): 10, (3, 9): 15, (12, 3): 10, (9, 3): 15, (11, 3): 18}
2026-03-17 11:53:06,374 | INFO | agents.adaptive_agent | INTERACTION at (61, 56) (color 8): changed 72 cells, colors: {(12, 3): 10, (9, 3): 15, (3, 12): 10, (3, 9): 15, (11, 3): 22}
2026-03-17 11:53:07,615 | INFO | agents.adaptive_agent | INTERACTION at (61, 62) (color 8): changed 2 cells, colors: {(11, 3): 2}
2026-03-17 11:53:08,834 | INFO | agents.adaptive_agent | INTERACTION at (60, 50) (color 5): changed 12 cells, colors: {(11, 3): 12}
